time	zera	jedynki
1149	135149	128020
1150	135105	128064
1151	135119	128050
1152	135096	128073
1153	135166	128003
1154	135065	128104
1155	135122	128047
1156	135116	128053
1157	135137	128032
1158	135103	128066
1159	135151	128018
1160	135070	128099
1161	135144	128025
1162	135112	128057
1163	135116	128053
1164	135090	128079
1165	135176	127993
1166	135099	128070
1167	135116	128053
1168	135093	128076
1169	135159	128010
1170	135080	128089
1171	135142	128027
1172	135106	128063
1173	135146	128023
1174	135122	128047
1175	135102	128067
1176	135095	128074
1177	135181	127988
1178	135080	128089
1179	135125	128044
1180	135110	128059
1181	135143	128026
1182	135100	128069
1183	135141	128028
1184	135099	128070
1185	135129	128040
1186	135124	128045
1187	135115	128054
1188	135098	128071
1189	135163	128006
1190	135078	128091
1191	135131	128038
1192	135103	128066
1193	135156	128013
1194	135090	128079
1195	135158	128011
1196	135091	128078
1197	135160	128009
1198	135110	128059
1199	135125	128044
1200	135093	128076
1201	135185	127984
1202	135103	128066
1203	135118	128051
1204	135127	128042
1205	135153	128016
1206	135108	128061
1207	135170	127999
1208	135085	128084
1209	135158	128011
1210	135116	128053
1211	135132	128037
1212	135094	128075
1213	135166	128003
1214	135125	128044
1215	135113	128056
1216	135112	128057
1217	135166	128003
1218	135098	128071
1219	135154	128015
1220	135077	128092
1221	135163	128006
1222	135124	128045
1223	135116	128053
1224	135090	128079
1225	135171	127998
1226	135092	128077
1227	135138	128031
1228	135125	128044
1229	135141	128028
1230	135100	128069
1231	135147	128022
1232	135097	128072
1233	135151	128018
1234	135108	128061
1235	135119	128050
1236	135107	128062
1237	135173	127996
1238	135097	128072
1239	135113	128056
1240	135112	128057
1241	135152	128017
1242	135107	128062
1243	135150	128019
1244	135087	128082
1245	135127	128042
1246	135129	128040
1247	135119	128050
1248	135079	128090
1249	135194	127975
1250	135087	128082
1251	135121	128048
1252	135111	128058
1253	135142	128027
1254	135102	128067
1255	135133	128036
1256	135101	128068
1257	135150	128019
1258	135122	128047
1259	135124	128045
1260	135096	128073
1261	135179	127990
1262	135106	128063
1263	135137	128032
1264	135108	128061
1265	135145	128024
1266	135099	128070
1267	135155	128014
1268	135094	128075
1269	135138	128031
1270	135130	128039
1271	135119	128050
1272	135094	128075
1273	135161	128008
1274	135093	128076
1275	135112	128057
1276	135100	128069
1277	135166	128003
1278	135083	128086
1279	135149	128020
1280	135076	128093
1281	135147	128022
1282	135127	128042
1283	135111	128058
1284	135092	128077
1285	135169	128000
1286	135093	128076
1287	135108	128061
1288	135107	128062
1289	135147	128022
1290	135085	128084
1291	135150	128019
1292	135089	128080
1293	135140	128029
1294	135115	128054
1295	135109	128060
1296	135082	128087
1297	135167	128002
1298	135091	128078
1299	135123	128046
1300	135096	128073
1301	135150	128019
1302	135103	128066
1303	135141	128028
1304	135077	128092
1305	135150	128019
1306	135111	128058
1307	135113	128056
1308	135087	128082
1309	135167	128002
1310	135083	128086
1311	135106	128063
1312	135120	128049
1313	135143	128026
1314	135088	128081
1315	135144	128025
1316	135091	128078
1317	135152	128017
1318	135107	128062
1319	135120	128049
1320	135075	128094
1321	135176	127993
1322	135089	128080
1323	135114	128055
1324	135111	128058
1325	135119	128050
1326	135112	128057
1327	135141	128028
1328	135086	128083
1329	135139	128030
1330	135107	128062
1331	135132	128037
1332	135089	128080
1333	135175	127994
1334	135099	128070
1335	135118	128051
1336	135110	128059
1337	135157	128012
1338	135111	128058
1339	135150	128019
1340	135107	128062
1341	135157	128012
1342	135136	128033
1343	135117	128052
1344	135104	128065
1345	135186	127983
1346	135099	128070
1347	135147	128022
1348	135125	128044
1349	135161	128008
1350	135100	128069
1351	135159	128010
1352	135100	128069
1353	135158	128011
1354	135140	128029
1355	135119	128050
1356	135107	128062
1357	135186	127983
1358	135107	128062
1359	135131	128038
1360	135113	128056
1361	135170	127999
1362	135118	128051
1363	135149	128020
1364	135102	128067
1365	135146	128023
1366	135141	128028
1367	135131	128038
1368	135111	128058
1369	135180	127989
1370	135101	128068
1371	135136	128033
1372	135123	128046
1373	135160	128009
1374	135101	128068
1375	135163	128006
1376	135102	128067
1377	135162	128007
1378	135121	128048
1379	135136	128033
1380	135101	128068
1381	135183	127986
1382	135125	128044
1383	135125	128044
1384	135124	128045
1385	135143	128026
1386	135117	128052
1387	135161	128008
1388	135088	128081
1389	135172	127997
1390	135128	128041
1391	135125	128044
1392	135110	128059
1393	135187	127982
1394	135110	128059
1395	135114	128055
1396	135138	128031
1397	135162	128007
1398	135111	128058
1399	135151	128018
1400	135092	128077
1401	135165	128004
1402	135120	128049
1403	135145	128024
1404	135105	128064
1405	135179	127990
1406	135111	128058
1407	135134	128035
1408	135118	128051
1409	135155	128014
1410	135107	128062
1411	135163	128006
1412	135113	128056
1413	135147	128022
1414	135138	128031
1415	135121	128048
1416	135099	128070
1417	135197	127972
1418	135102	128067
1419	135133	128036
1420	135118	128051
1421	135156	128013
1422	135127	128042
1423	135143	128026
1424	135103	128066
1425	135161	128008
1426	135132	128037
1427	135132	128037
1428	135103	128066
1429	135185	127984
1430	135096	128073
1431	135144	128025
1432	135120	128049
1433	135158	128011
1434	135106	128063
1435	135152	128017
1436	135112	128057
1437	135153	128016
1438	135143	128026
1439	135130	128039
1440	135090	128079
1441	135187	127982
1442	135110	128059
1443	135130	128039
1444	135124	128045
1445	135160	128009
1446	135112	128057
1447	135158	128011
1448	135098	128071
1449	135159	128010
1450	135123	128046
1451	135126	128043
1452	135126	128043
1453	135178	127991
1454	135107	128062
1455	135118	128051
1456	135126	128043
1457	135169	128000
1458	135104	128065
1459	135171	127998
1460	135088	128081
1461	135165	128004
1462	135128	128041
1463	135124	128045
1464	135106	128063
1465	135171	127998
1466	135124	128045
1467	135137	128032
1468	135117	128052
1469	135155	128014
1470	135114	128055
1471	135160	128009
1472	135097	128072
1473	135161	128008
1474	135134	128035
1475	135124	128045
1476	135099	128070
1477	135191	127978
1478	135109	128060
1479	135120	128049
1480	135129	128040
1481	135164	128005
1482	135110	128059
1483	135156	128013
1484	135104	128065
1485	135153	128016
1486	135126	128043
1487	135141	128028
1488	135105	128064
1489	135184	127985
1490	135093	128076
1491	135137	128032
1492	135133	128036
1493	135146	128023
1494	135125	128044
1495	135143	128026
1496	135105	128064
1497	135166	128003
1498	135121	128048
1499	135135	128034
1500	135092	128077
1501	135196	127973
1502	135118	128051
1503	135130	128039
1504	135116	128053
1505	135151	128018
1506	135113	128056
1507	135154	128015
1508	135108	128061
1509	135155	128014
1510	135133	128036
1511	135130	128039
1512	135102	128067
1513	135190	127979
1514	135100	128069
1515	135133	128036
1516	135132	128037
1517	135157	128012
1518	135109	128060
1519	135156	128013
1520	135091	128078
1521	135156	128013
1522	135144	128025
1523	135125	128044
1524	135112	128057
1525	135173	127996
1526	135115	128054
1527	135136	128033
1528	135105	128064
1529	135178	127991
1530	135099	128070
1531	135158	128011
1532	135105	128064
1533	135159	128010
1534	135131	128038
1535	135118	128051
1536	135117	128052
1537	135188	127981
1538	135102	128067
1539	135127	128042
1540	135122	128047
1541	135158	128011
1542	135115	128054
1543	135162	128007
1544	135100	128069
1545	135146	128023
1546	135134	128035
1547	135139	128030
1548	135108	128061
1549	135178	127991
1550	135108	128061
1551	135132	128037
1552	135124	128045
1553	135150	128019
1554	135108	128061
1555	135161	128008
1556	135096	128073
